name,,formula,reference,ref_state,G_ref,H_ref,S_ref,v0,k0,k1,k2,k3,k5,k6,v1,v2,v3,v4,Tl,Tlref,kl,l1,l2,dHt,d0,d1,d2,d3,d4,d5,Tdref,Td
HYDROXYAPATITE,14,Ca(5)P(3)O(13)H(1),Zhu and Sverjensky,1675.515,-6297702,-6694688.7,398.7352,15.822,758.81024,-6480.598,0,-447939040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLUORAPATITE,12,Ca(5)P(3)O(12)F(1),Zhu and Sverjensky,1608.995,-6443050,-6823447.11,387.8568,15.753,668.77056,-4534.201,0,-746341920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLORAPATITE,12,Ca(5)P(3)O(12)Cl(1),Zhu and Sverjensky,1619.14,-6217424,-6597260.07,399.0699,16.403,663.87528,-4435.877,0,-690234480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMOND,7,C(1),"Birch 1966 and Fujihisa (from Fried & Howard 2000) V(P), Skinner 1966 V(T), Victor 1962 Cp",5.74,2900,1895,2.38,0.342,36.004,-411.76,-1688100,343890000,0,0,0.64232,0.00037816,-0.019025,-0.00002691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGNETITE,9,Fe(3)O(4),Berman,492.14,-1014235,-1117402.53,146.1142,4.452,207.93083,0,-7243337,664356352,0,0,3.0291036,0.0013847,-0.0581703,0.0001751,848.15,298.15,0,-0.19502452,0.00061037,1565,0,0,0,0,0,0,0,0
CORUNDUM,8,Al(2)O(3),Berman,364.425,-1582199,-1675699.95,50.82,2.558,155.01888,-828.387,-38133,409083648,0,0,2.13411503,0.0004718,-0.0385219,0.0000375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEMATITE,8,Fe(2)O(3),Berman,362.285,-743681,-825627.39,87.4371,3.027,146.8584,0,-5576782,525627904,0,0,3.8309517,0.0000165,-0.047894,0.0000304,955.65,298.15,0,-0.07403236,0.00027921,1287,0,0,0,0,0,0,0,0
PERICLASE,9,Mg(1)O(1),Berman,135.255,-569209,-601500,26.9514,1.125,61.10965,-296.199,-621154,5844612,0,0,3.44473262,0,-0.16969784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIME,4,Ca(1)O(1),Berman,144.205,-603350,-635090,37.75,1.76,58.79117,-133.904,-1147146,102978784,0,0,3.46103555,0.00067406,-0.10217132,0.0002565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPINEL,6,Mg(1)Al(2)O(4),Berman,499.68,-2176537,-2300312.74,84.5346,3.977,235.89993,-1766.578,-1710415,40616928,0,0,2.16913776,0.00050528,-0.04894168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
